Time resolution is 1 ps
cntr: x flg:x messAddra:  x cmacAddra:  x messIn:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx cmacIn:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx in:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:x messDone:x
cntr:39 flg:0 messAddra:  2 cmacAddra:  0 messIn:0707070909080a0c140d0c0b0b0c1912 cmacIn:ffd8ffe000104a464946000101000001 in:0707070909080a0c140d0c0b0b0c1912 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
cntr:40 flg:0 messAddra:  2 cmacAddra:  0 messIn:0707070909080a0c140d0c0b0b0c1912 cmacIn:ffd8ffe000104a464946000101000001 in:0707070909080a0c140d0c0b0b0c1912 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
cntr:41 flg:0 messAddra:  2 cmacAddra:  0 messIn:0707070909080a0c140d0c0b0b0c1912 cmacIn:ffd8ffe000104a464946000101000001 in:0707070909080a0c140d0c0b0b0c1912 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
cntr:42 flg:0 messAddra:  2 cmacAddra:  0 messIn:0707070909080a0c140d0c0b0b0c1912 cmacIn:ffd8ffe000104a464946000101000001 in:0707070909080a0c140d0c0b0b0c1912 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
cntr:43 flg:0 messAddra:  2 cmacAddra:  0 messIn:0707070909080a0c140d0c0b0b0c1912 cmacIn:ffd8ffe000104a464946000101000001 in:0707070909080a0c140d0c0b0b0c1912 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
cntr:44 flg:1 messAddra:  2 cmacAddra:  0 messIn:0707070909080a0c140d0c0b0b0c1912 cmacIn:ffd8ffe000104a464946000101000001 in:0707070909080a0c140d0c0b0b0c1912 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:9958fdec8e2d65c80160cfc0e66432fa bufFlg:1 messDone:0
cntr:45 flg:1 messAddra:  3 cmacAddra:  1 messIn:0707070909080a0c140d0c0b0b0c1912 cmacIn:ffd8ffe000104a464946000101000001 in:0707070909080a0c140d0c0b0b0c1912 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:9958fdec8e2d65c80160cfc0e66432fa bufFlg:1 messDone:0
cntr:46 flg:0 messAddra:  4 cmacAddra:  1 messIn:130f141d1a1f1e1d1a1c1c20242e2720 cmacIn:00010000ffdb00430008060607060508 in:0707070909080a0c140d0c0b0b0c1912 cmacReg:9958fdec8e2d65c80160cfc0e66432fa encrypted:defc899e94c6b8ce8fedcee9e9ff3dcf bufFlg:1 messDone:0
cntr: 2 flg:0 messAddra:  4 cmacAddra:  1 messIn:222c231c1c2837292c30313434341f27 cmacIn:00010000ffdb00430008060607060508 in:130f141d1a1f1e1d1a1c1c20242e2720 cmacReg:9958fdec8e2d65c80160cfc0e66432fa encrypted:e109ac33e298773a8a915b24c78e054f bufFlg:0 messDone:0
cntr: 3 flg:0 messAddra:  5 cmacAddra:  1 messIn:222c231c1c2837292c30313434341f27 cmacIn:00010000ffdb00430008060607060508 in:9959fdec71f6658b0168c9c6e16237f2 cmacReg:9958fdec8e2d65c80160cfc0e66432fa encrypted:e109ac33e298773a8a915b24c78e054f bufFlg:1 messDone:0
